# meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_6,meas_7,meas_8,meas_9,meas_10,meas_11,meas_12,meas_13,meas_14,meas_15,meas_16,meas_17,meas_18,meas_19,meas_20,meas_21,meas_22,meas_23,meas_24,meas_25,meas_26,meas_27,meas_28,meas_29,meas_30,meas_31,meas_32,meas_33,meas_34,meas_35,meas_36,meas_37,meas_38,meas_39,meas_40,meas_41,meas_42,meas_43,meas_44,meas_45,meas_46,meas_47,meas_48,meas_49,meas_50,meas_51,meas_52,meas_53,meas_54,meas_55,meas_56,meas_57,meas_58,meas_59,meas_60,meas_61,meas_62,meas_63,meas_64,meas_65,meas_66,meas_67,meas_68,meas_69,meas_70,meas_71,meas_72,meas_73,meas_74,meas_75,meas_76,meas_77,meas_78,meas_79,meas_80,meas_81,meas_82,meas_83,meas_84,meas_85,meas_86,meas_87,meas_88,meas_89,meas_90,meas_91,meas_92,meas_93,meas_94,meas_95,meas_96,meas_97,meas_98,meas_99,meas_100,meas_101,meas_102,meas_103,meas_104,meas_105,meas_106,meas_107,meas_108,meas_109,meas_110,meas_111,meas_112,meas_113,meas_114,meas_115,meas_116,meas_117,meas_118,meas_119,meas_120,meas_121,meas_122,meas_123,meas_124,meas_125,meas_126,meas_127,meas_128,meas_129,meas_130,meas_131,meas_132,meas_133,meas_134,meas_135,meas_136,meas_137,meas_138,meas_139,meas_140,meas_141,meas_142,meas_143,meas_144,meas_145,meas_146,meas_147,meas_148,meas_149,meas_150,meas_151,meas_152,meas_153,meas_154,meas_155,meas_156,meas_157,meas_158,meas_159,meas_160,meas_161,meas_162,meas_163,meas_164,meas_165,meas_166,meas_167,meas_168,meas_169,meas_170,meas_171,meas_172,meas_173,meas_174,meas_175,meas_176,meas_177,meas_178,meas_179,meas_180,meas_181,meas_182,meas_183,meas_184,meas_185,meas_186,meas_187,meas_188,meas_189,meas_190,meas_191,meas_192,meas_193,meas_194,meas_195,meas_196,meas_197,meas_198,meas_199,meas_200,meas_201,meas_202,meas_203,meas_204,meas_205,meas_206,meas_207
0.08321419,-1.58089614,-1.04378998,-0.22528113,0.05487356,0.07105789,0.09177887,0.13294525,0.09614803,0.13752703,0.16501230,0.18280192,0.23051450,-3.12442398,-2.03815293,-0.60690475,-0.07685021,0.05437601,0.08873218,0.04981408,0.09800221,0.08425796,0.14170498,0.21905541,0.25626081,0.43870887,0.01918057,-5.85541677,-1.98656499,-0.85013610,-0.45055842,-0.27711087,-0.19455454,-0.15674718,-0.12111533,-0.15588509,-0.11398450,-0.07786877,-0.12706336,-1.61754131,-3.17517948,-5.12507248,-2.20244670,-1.33424425,-0.90552700,-0.67074883,-0.59520382,-0.60570842,-0.61908025,-0.65345234,-0.78764910,-1.04475546,-1.04105055,-2.12044549,-5.84556770,-0.66601634,-0.62478578,-0.46576008,-0.39030844,-0.40072647,-0.37371704,-0.36560303,-0.41571969,-0.51941866,-0.66297752,-0.19363244,-0.59441507,-1.99370492,-5.12259865,0.42644057,0.15538673,0.05684175,0.02983102,0.02757556,0.00571449,-0.02439287,-0.06821843,-0.11281475,0.06336788,-0.07127944,-0.77821338,-2.22063541,-0.70709813,0.26377818,0.18470933,0.17971508,0.11677795,0.10027394,0.08614165,0.07768449,0.09581777,0.10897312,0.02267464,-0.41514274,-1.33034587,-0.57363582,0.42411473,0.15657890,0.11201099,0.16102616,0.07044429,0.07394300,0.07864576,0.10577845,0.14016502,0.08488759,-0.27274153,-0.89826518,-0.54851222,0.12675542,0.30183280,0.09439379,0.06479635,0.12075876,0.07150496,0.10181364,0.11395618,0.09936333,0.09511665,-0.17451552,-0.69111049,-0.38446555,0.09980263,0.20172912,0.16321437,0.06525979,0.10395953,0.06470665,0.05701692,0.09055900,0.09926006,0.11994590,-0.14982150,-0.60317564,-0.42215639,0.04203781,0.12393986,0.12506047,0.08076621,0.08066887,0.07519940,0.08592299,0.07549704,0.13179371,0.13823198,-0.14947595,-0.57331020,-0.36809358,0.00766880,0.12560453,0.11586874,0.08762342,0.07425555,0.04192874,0.10905474,0.09911484,0.13452867,0.15066454,-0.16268654,-0.61043262,-0.38609391,0.00195842,0.08682813,0.12636094,0.07390381,0.06341032,0.08529451,0.07401356,0.14475650,0.18244456,0.17718700,-0.08470020,-0.61576581,-0.42125255,-0.07450969,0.08013441,0.09683583,0.06965785,0.05175582,0.08562700,0.05753117,0.12992911,0.21753079,0.22647901,-0.10908485,-0.75858551,-0.49283025,-0.03387399,0.02993118,0.06881581,0.12072346,0.11447351,0.04062327,0.08139164,0.10191347,0.40401623,-0.10352446,-1.02439535,-0.65375924,-0.08592190,0.09483320,0.09417624,0.12059376,0.08350498,0.07370233,0.09980570,0.11108045,0.13172355
0.07913919,-1.58681870,-1.03040278,-0.21876809,0.07372230,0.07719065,0.17399079,0.13065177,0.09748346,0.13684113,0.12763023,0.16046879,0.20442484,-3.15710330,-2.08923006,-0.61565518,-0.10738318,0.04998079,0.05989002,0.09711029,0.08560402,0.12263192,0.16442479,0.23602861,0.24396373,0.36590961,0.07220602,-5.86072302,-1.98674774,-0.80695009,-0.44763345,-0.27473655,-0.19423026,-0.14476000,-0.14221202,-0.08314093,-0.13780142,-0.10804593,-0.08409261,-1.58560860,-3.17478704,-5.07074594,-2.22061849,-1.29047763,-0.88299680,-0.70609206,-0.56826955,-0.61263347,-0.57633948,-0.61922055,-0.75521654,-1.05160618,-1.02455676,-2.03426981,-5.86016893,-0.69414032,-0.62503827,-0.48118266,-0.40346014,-0.39821899,-0.36799431,-0.39276737,-0.37876856,-0.51793915,-0.72338915,-0.17860523,-0.55756724,-1.98456895,-5.12433243,0.41316098,0.17527381,0.07098068,0.01440538,0.01215113,-0.02305124,-0.04269414,-0.12225891,-0.09766100,0.06204801,-0.12520216,-0.80703402,-2.23758984,-0.68668628,0.31076217,0.19395980,0.12972395,0.11193021,0.11737168,0.10326216,0.09277105,0.06760847,0.10891337,0.04078597,-0.43809178,-1.29417014,-0.60122484,0.42273149,0.16101788,0.12206207,0.07062177,0.11892693,0.06617874,0.09569796,0.06756292,0.12615107,0.03735623,-0.26997444,-0.92713946,-0.51361525,0.17132466,0.27103484,0.09898148,0.09739430,0.11859357,0.08360174,0.05722910,0.11920218,0.10779036,0.07305164,-0.19926268,-0.72709608,-0.43343979,0.07384402,0.18898451,0.16097395,0.10714538,0.05039441,0.06566102,0.04894577,0.08756135,0.15702528,0.13743217,-0.14754921,-0.62633330,-0.37439898,0.00838514,0.11814611,0.10582439,0.09306637,0.05297425,0.08092514,0.08812118,0.06729144,0.15607573,0.09550952,-0.11101206,-0.56239796,-0.35662359,0.01002551,0.10175487,0.12716897,0.07056466,0.07561129,0.05923268,0.08571243,0.08676840,0.13684946,0.14272624,-0.14045246,-0.62425792,-0.37343729,-0.01943417,0.09497693,0.09384250,0.05292518,0.05002808,0.07937823,0.13749281,0.10147700,0.18134789,0.15909541,-0.14225017,-0.64272380,-0.42482924,-0.05321554,0.11527315,0.11709225,0.07982790,0.07445236,0.05109759,0.07927698,0.13817304,0.22266848,0.25293800,-0.13424963,-0.73357558,-0.46580091,-0.07652830,0.10463557,0.10457250,0.08780394,0.09667187,0.08283849,0.06165698,0.08510968,0.40955424,-0.10696441,-1.00604415,-0.67604715,-0.09630844,0.11447628,0.09202711,0.12716527,0.11070074,0.09399713,0.10864834,0.10534852,0.13026088
0.05885807,-1.59851062,-1.06088102,-0.20917994,0.03787591,0.10423391,0.13564278,0.11032207,0.12452749,0.12559365,0.16292697,0.16864289,0.18603811,-3.16816521,-2.03312659,-0.56683928,-0.07105495,0.06403017,0.08175126,0.10997643,0.11749618,0.11019664,0.14475538,0.15393521,0.28255671,0.37349710,0.03550532,-5.80463696,-1.99393284,-0.78202879,-0.43295893,-0.22692496,-0.14744751,-0.15517500,-0.12904090,-0.12059596,-0.10056173,-0.11509904,-0.12267324,-1.59722400,-3.16194725,-5.10286379,-2.23187184,-1.25618196,-0.91226637,-0.74383622,-0.62916309,-0.55037314,-0.59179091,-0.65739053,-0.79111665,-0.98403472,-1.10586369,-2.04504585,-5.86177206,-0.64938909,-0.60231620,-0.48422647,-0.40875292,-0.39627364,-0.35535538,-0.37228140,-0.40842915,-0.50679988,-0.67840010,-0.22352497,-0.58571804,-1.97947371,-5.06117296,0.36917692,0.17186441,0.09157004,0.04864658,0.02282546,-0.01067142,-0.04320362,-0.05396607,-0.10528096,0.10062706,-0.08213837,-0.80960256,-2.21537971,-0.69714648,0.29836515,0.20611890,0.11993944,0.09729442,0.08729335,0.10296038,0.08627962,0.09853791,0.09199587,0.05009130,-0.41806704,-1.30685365,-0.60204542,0.38722780,0.16270040,0.11791280,0.13920234,0.13330127,0.07559324,0.12549245,0.10177585,0.13940807,0.07820662,-0.25005227,-0.92540556,-0.47032210,0.14664708,0.28843710,0.09135696,0.11973861,0.07076347,0.09554145,0.06053144,0.10822651,0.09952722,0.05331118,-0.19457430,-0.68156171,-0.44226134,0.07814847,0.21118414,0.16555239,0.10498606,0.10338279,0.05416564,0.09441853,0.08889390,0.10598673,0.09665671,-0.18856382,-0.61936975,-0.35814741,0.00476376,0.16240627,0.11766098,0.08135624,0.08867437,0.04967050,0.09545065,0.10925542,0.10612829,0.09270478,-0.14070985,-0.58729696,-0.36571431,0.01886411,0.10876521,0.10533603,0.09377843,0.07467405,0.04147014,0.09134735,0.06246154,0.09916253,0.18499644,-0.11500674,-0.57314849,-0.40883636,-0.02160127,0.09463893,0.12786959,0.06749938,0.06680727,0.06451756,0.11266275,0.09511737,0.19622032,0.19882432,-0.13819416,-0.62794477,-0.40199569,-0.04160937,0.07756958,0.08245844,0.05931413,0.04863140,0.05616380,0.08189343,0.10892121,0.23085248,0.24057044,-0.13051718,-0.76327330,-0.54160112,-0.08383463,0.06056584,0.09194842,0.12692939,0.09461529,0.09033632,0.09426370,0.10848511,0.43531731,-0.11087769,-1.04545534,-0.65186352,-0.12014396,0.08887780,0.09962870,0.10017351,0.09660985,0.09707544,0.13321960,0.07248228,0.14886926
0.09678063,-1.61959302,-1.03953397,-0.23181832,0.04588614,0.12797470,0.08245618,0.13739611,0.11931399,0.11087225,0.12921953,0.13402562,0.26446873,-3.12777567,-2.05404615,-0.59665495,-0.06350721,0.01425622,0.05667409,0.06758035,0.09456155,0.10208254,0.14980006,0.20993887,0.19832169,0.39676467,0.09012765,-5.85021639,-1.96916318,-0.77982092,-0.45897660,-0.26881063,-0.21088846,-0.15179768,-0.15647416,-0.10876074,-0.15697141,-0.11425629,-0.10815052,-1.55914116,-3.19182181,-5.14395905,-2.24401236,-1.30693746,-0.91188765,-0.69958782,-0.61158967,-0.55389488,-0.59519726,-0.63868940,-0.78623670,-1.01875734,-1.02553284,-2.07037282,-5.82193422,-0.71027452,-0.62169689,-0.49170572,-0.43160525,-0.35730532,-0.34223947,-0.35346705,-0.41070196,-0.50904590,-0.65798473,-0.21879376,-0.58339471,-1.99828255,-5.11978817,0.39927411,0.15533715,0.08772698,0.04391897,0.00429708,0.01903599,-0.00673498,-0.07163250,-0.12376916,0.06010227,-0.08081478,-0.77598876,-2.23219466,-0.68268663,0.31245473,0.18065827,0.15160747,0.09086630,0.10730247,0.09917372,0.08501327,0.06020056,0.10966960,0.03786785,-0.42018831,-1.27439988,-0.61628163,0.42727575,0.16951387,0.10017615,0.09129184,0.10832959,0.06222929,0.09367539,0.10869952,0.09053306,0.09337233,-0.28222647,-0.90177649,-0.48203582,0.16958080,0.28477973,0.07449552,0.09049835,0.10545561,0.06268694,0.07742204,0.10222690,0.10986473,0.09965270,-0.20558748,-0.69938618,-0.37217069,0.06090428,0.17970242,0.16096175,0.06242114,0.05038391,0.06940105,0.08101767,0.12277471,0.11213791,0.08707859,-0.18187930,-0.61262834,-0.34370750,0.03401751,0.15666245,0.12779579,0.10628833,0.07404951,0.08829708,0.06102652,0.07513378,0.15346402,0.09197656,-0.10178597,-0.60932094,-0.35836008,0.00044187,0.11838507,0.08347902,0.11062915,0.04970237,0.05758686,0.08707372,0.08600958,0.14127970,0.13104326,-0.06786387,-0.56166691,-0.36004317,-0.00833407,0.09716658,0.09795500,0.09604932,0.09913499,0.07465603,0.09462175,0.12362196,0.13883299,0.19581063,-0.13178673,-0.67158431,-0.41857070,-0.03600827,0.06177742,0.10434435,0.06757125,0.05671840,0.05213213,0.10352094,0.13226524,0.20713773,0.24785517,-0.11259291,-0.76657236,-0.48059952,-0.07041842,0.08428099,0.05890500,0.11533252,0.08740587,0.07918765,0.10411903,0.08423556,0.39330047,-0.12729019,-1.04971206,-0.62773848,-0.09384996,0.13319519,0.08181527,0.09863780,0.10038695,0.13526112,0.10819561,0.10473917,0.12591307
0.06206335,-1.61321390,-0.99950802,-0.19938241,0.07958306,0.07670566,0.13789667,0.07472385,0.13230212,0.08774948,0.19352420,0.17643061,0.21955110,-3.10651851,-2.08462214,-0.61715806,-0.08205730,0.06281214,0.06078952,0.09651686,0.12262354,0.11756822,0.11892290,0.17690141,0.25667784,0.41271883,0.11068418,-5.87499857,-1.96821797,-0.79601759,-0.44896966,-0.29117858,-0.19945905,-0.15717073,-0.13464698,-0.10613719,-0.12459591,-0.13330126,-0.12639847,-1.61805296,-3.16097879,-5.13699722,-2.25036192,-1.33897007,-0.90898186,-0.74624670,-0.59892654,-0.56980687,-0.59124982,-0.63655049,-0.77356225,-1.03428555,-1.03347838,-2.04538774,-5.86665201,-0.67102253,-0.62912893,-0.50092775,-0.44342819,-0.40254459,-0.37428463,-0.40347180,-0.38995218,-0.51419574,-0.66034830,-0.21786720,-0.59677029,-2.00727344,-5.11506605,0.44790849,0.18941446,0.04361278,0.01678651,0.03657497,-0.04509984,-0.04223624,-0.08322372,-0.09709424,0.06493013,-0.10226557,-0.80888975,-2.26107430,-0.64732373,0.27716506,0.17430893,0.12254646,0.10041299,0.07753086,0.08031378,0.07141443,0.08808646,0.11000206,0.05421550,-0.44697791,-1.30262005,-0.59347039,0.39860135,0.16978736,0.09772577,0.11711262,0.11494971,0.10583308,0.07509954,0.10117833,0.12029775,0.06557997,-0.29518890,-0.90250331,-0.49615335,0.14009523,0.27213654,0.08610436,0.11470008,0.05809866,0.08385480,0.06190392,0.11924656,0.13228846,0.08687711,-0.19063839,-0.69330716,-0.39115500,0.09507155,0.20989144,0.13623750,0.07424288,0.05888636,0.07046423,0.06806340,0.08162946,0.10864488,0.12509353,-0.16192241,-0.59683287,-0.36513951,0.06086816,0.13212152,0.12212688,0.06519391,0.06727226,0.06842323,0.08980611,0.12063850,0.16637228,0.16280581,-0.14313313,-0.57318389,-0.36278787,0.01009648,0.12075112,0.10255291,0.09040380,0.02976591,0.03441251,0.08991817,0.14241783,0.13251825,0.14941867,-0.11843528,-0.58857274,-0.38356996,-0.01555026,0.11009454,0.14567119,0.09656388,0.06795993,0.09168573,0.07980190,0.08915004,0.16168936,0.20064256,-0.10637163,-0.67184007,-0.42958659,-0.00611137,0.10175461,0.09761004,0.05856290,0.05578986,0.06354029,0.09941222,0.11683086,0.21399125,0.24990906,-0.13405435,-0.79086429,-0.50556225,-0.06917253,0.06690224,0.10010706,0.08969405,0.10754689,0.06733181,0.10804808,0.11378769,0.39604580,-0.11451311,-1.02604759,-0.65415639,-0.11084300,0.05653804,0.14970341,0.06312159,0.06916093,0.08737275,0.09515966,0.08284662,0.13923822
0.09246501,-1.60301197,-0.99207145,-0.22366306,0.06236974,0.14179592,0.10153555,0.10339409,0.12213793,0.11352919,0.13132507,0.14090788,0.22463386,-3.17135596,-2.05003905,-0.57810521,-0.05131173,0.02579425,0.04669541,0.07305056,0.07621831,0.05345646,0.16490448,0.20964427,0.25542796,0.41821563,0.06682773,-5.87012768,-1.94106662,-0.82952684,-0.44652644,-0.24107894,-0.20106111,-0.15288021,-0.14891408,-0.11038309,-0.12301952,-0.11742909,-0.10279415,-1.65319538,-3.13781095,-5.12977600,-2.21393800,-1.29451156,-0.88354254,-0.69222343,-0.63777566,-0.56985849,-0.56690800,-0.66347116,-0.78758943,-1.03528976,-1.03841591,-2.07197642,-5.84162521,-0.65303206,-0.58074516,-0.46009639,-0.43330434,-0.37572420,-0.35329127,-0.35604644,-0.43856758,-0.49315125,-0.67454892,-0.23405220,-0.60916239,-1.95570958,-5.13659000,0.40404570,0.18510558,0.08626560,0.02218544,0.01034121,-0.05058823,-0.05490516,-0.05867871,-0.08457047,0.04317374,-0.08489885,-0.84211701,-2.25642776,-0.66985691,0.29112592,0.18511814,0.15678073,0.10654430,0.08674578,0.11830084,0.09573282,0.07920834,0.10321282,0.05392526,-0.42761266,-1.31734300,-0.63174558,0.40360761,0.14872766,0.12937191,0.06520073,0.06171641,0.08907082,0.10234326,0.07662504,0.13862012,0.09107204,-0.24148944,-0.90833408,-0.51187110,0.16122945,0.30316812,0.10411591,0.08247736,0.04002003,0.10078418,0.08083484,0.08474950,0.09750951,0.09579578,-0.22385740,-0.73092312,-0.41435310,0.08926512,0.20341584,0.20539616,0.05917507,0.09181373,0.07738902,0.08773229,0.11816803,0.11090644,0.10535888,-0.15360135,-0.59652114,-0.36885932,0.04093181,0.13934635,0.11521765,0.11621833,0.09469265,0.10298894,0.08804096,0.06079019,0.14808656,0.11791632,-0.13022909,-0.56896776,-0.34466296,0.02212450,0.10825858,0.10070084,0.06247535,0.08986108,0.06403217,0.07708843,0.08821369,0.14146790,0.16579996,-0.11449157,-0.54114443,-0.39926285,0.02689857,0.08791074,0.11299668,0.05426725,0.07326435,0.07428689,0.12113135,0.08692903,0.16226628,0.16378352,-0.14769138,-0.64306819,-0.38152602,-0.04386573,0.07178443,0.08441128,0.10689122,0.09380249,0.06920441,0.06175473,0.12837201,0.19535941,0.27534810,-0.11762408,-0.78322470,-0.50965226,-0.08768415,0.10328219,0.08494197,0.09175606,0.06726420,0.04787247,0.08848985,0.09188538,0.37984681,-0.07196002,-1.01798594,-0.64339894,-0.12525213,0.08011451,0.11704440,0.11028281,0.11728323,0.12428088,0.10544659,0.08699426,0.10703887
