# meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_6,meas_7,meas_8,meas_9,meas_10,meas_11,meas_12,meas_13,meas_14,meas_15,meas_16,meas_17,meas_18,meas_19,meas_20,meas_21,meas_22,meas_23,meas_24,meas_25,meas_26,meas_27,meas_28,meas_29,meas_30,meas_31,meas_32,meas_33,meas_34,meas_35,meas_36,meas_37,meas_38,meas_39,meas_40,meas_41,meas_42,meas_43,meas_44,meas_45,meas_46,meas_47,meas_48,meas_49,meas_50,meas_51,meas_52,meas_53,meas_54,meas_55,meas_56,meas_57,meas_58,meas_59,meas_60,meas_61,meas_62,meas_63,meas_64,meas_65,meas_66,meas_67,meas_68,meas_69,meas_70,meas_71,meas_72,meas_73,meas_74,meas_75,meas_76,meas_77,meas_78,meas_79,meas_80,meas_81,meas_82,meas_83,meas_84,meas_85,meas_86,meas_87,meas_88,meas_89,meas_90,meas_91,meas_92,meas_93,meas_94,meas_95,meas_96,meas_97,meas_98,meas_99,meas_100,meas_101,meas_102,meas_103,meas_104,meas_105,meas_106,meas_107,meas_108,meas_109,meas_110,meas_111,meas_112,meas_113,meas_114,meas_115,meas_116,meas_117,meas_118,meas_119,meas_120,meas_121,meas_122,meas_123,meas_124,meas_125,meas_126,meas_127,meas_128,meas_129,meas_130,meas_131,meas_132,meas_133,meas_134,meas_135,meas_136,meas_137,meas_138,meas_139,meas_140,meas_141,meas_142,meas_143,meas_144,meas_145,meas_146,meas_147,meas_148,meas_149,meas_150,meas_151,meas_152,meas_153,meas_154,meas_155,meas_156,meas_157,meas_158,meas_159,meas_160,meas_161,meas_162,meas_163,meas_164,meas_165,meas_166,meas_167,meas_168,meas_169,meas_170,meas_171,meas_172,meas_173,meas_174,meas_175,meas_176,meas_177,meas_178,meas_179,meas_180,meas_181,meas_182,meas_183,meas_184,meas_185,meas_186,meas_187,meas_188,meas_189,meas_190,meas_191,meas_192,meas_193,meas_194,meas_195,meas_196,meas_197,meas_198,meas_199,meas_200,meas_201,meas_202,meas_203,meas_204,meas_205,meas_206,meas_207
0.84641933,-1.52149594,-0.46335876,-0.24365164,-0.16782543,-0.15532424,-0.05965497,-0.02421004,-0.14598446,-0.05668561,-0.06460147,0.05331785,0.22195508,-2.81868458,-0.93808955,-0.52346170,-0.34356192,-0.17660631,-0.12356348,-0.19579221,-0.07002749,-0.05354765,0.00144934,0.01234874,0.19149442,0.46666825,0.81608540,-2.55041623,-0.98188210,-0.60268897,-0.40351468,-0.22819611,-0.17749266,-0.27597529,-0.21040997,-0.16525175,-0.09600278,0.02945937,0.25029936,-1.55371058,-2.84921312,-2.00737619,-1.08203948,-0.78459930,-0.52077734,-0.45626742,-0.37685910,-0.43557963,-0.45889342,-0.57506037,-0.76004654,-1.00620508,-0.45427856,-0.95361841,-2.52179670,0.90145552,0.45595452,0.33428052,0.20280892,0.15012343,0.18973751,0.03321140,-0.05649686,-0.08873615,-0.22812830,-0.27572015,-0.59133917,-0.89191961,-2.07982230,0.34942549,0.17602567,0.16388664,0.14026769,0.15380627,0.03542642,0.02481283,-0.08343133,-0.13463220,-0.25088540,-0.36025622,-0.50718319,-1.08808422,0.90057701,0.18375129,0.14140597,0.09158390,0.14470881,-0.02438591,0.12481725,-0.12780142,-0.09751268,-0.17803834,-0.26739746,-0.42577684,-0.74644089,0.57909578,0.30462575,0.10184347,0.09928299,0.07837456,0.12747705,0.04245599,0.00841789,-0.03475107,-0.14096655,-0.22050765,-0.29127875,-0.59064549,0.26669139,0.15187599,0.22072741,0.02809783,0.05948787,0.02968774,0.04016687,-0.00163173,-0.04200402,-0.01721300,-0.15559906,-0.17939717,-0.49668360,0.30005994,0.23166902,0.17202291,0.14996783,0.06557581,0.07187907,0.06111852,0.00141991,-0.06386504,-0.06576658,-0.19180895,-0.18012106,-0.41665652,0.17301756,0.07276777,0.12323046,0.11914061,0.12621182,0.05626679,0.03237266,0.05069362,0.02286196,-0.12901598,-0.05542215,-0.13005169,-0.47252733,0.10352354,0.09580597,0.10072409,0.01703208,0.09411127,0.08058593,0.04545176,0.07476701,-0.02803082,-0.07100719,-0.12226769,-0.22499052,-0.51542634,0.10445983,0.00991377,0.10584480,0.06464122,0.05432422,-0.05791836,0.00505041,0.06446887,0.00537089,0.06857540,-0.06795026,-0.06961591,-0.61711925,-0.09359330,0.07445111,0.02434693,0.03790610,0.02142525,0.02908066,0.03236809,0.15085697,0.14214149,0.16215572,0.10020509,-0.01436483,-0.62723798,-0.05330256,-0.07654716,0.04753101,0.02620310,-0.02808651,0.07830744,0.02045223,0.03721051,0.07832731,0.42413557,0.20339134,-0.97069454,-0.25006458,-0.11753102,-0.04129157,-0.07335987,-0.06384631,-0.07813886,-0.01406788,-0.01952471,-0.04393264,0.04948658
0.87399739,-1.46772051,-0.43141207,-0.23327456,-0.21589461,-0.08127932,-0.09776320,-0.05236236,-0.15527228,-0.09247743,-0.01907147,0.00009814,0.20743166,-2.85224247,-0.87447190,-0.49029326,-0.27179924,-0.23891488,-0.18521917,-0.22513026,-0.08567394,-0.08998579,-0.10384720,-0.01945749,0.25958312,0.44087550,0.88086730,-2.51194382,-0.97652996,-0.47597560,-0.40200618,-0.33312654,-0.25877264,-0.17954299,-0.13526702,-0.27992752,-0.12682970,0.01914881,0.31889573,-1.45145428,-2.83176756,-2.12531900,-1.04917169,-0.74339247,-0.55953139,-0.46514916,-0.44396067,-0.53403747,-0.56394958,-0.63781536,-0.82087499,-0.91767317,-0.51225173,-0.85809034,-2.52931237,0.88480878,0.46555084,0.29288566,0.25637597,0.11759350,0.13767137,0.02100658,0.03019639,-0.17102471,-0.21124454,-0.18121326,-0.48138615,-0.92905653,-2.13746357,0.28416780,0.16446014,0.18471602,0.14411245,0.10285929,0.10365301,0.07341870,-0.11061192,-0.16413720,-0.17853886,-0.26094174,-0.50561035,-1.11078572,0.84619564,0.15388088,0.09404287,0.02622727,0.16503969,0.03714709,0.05843558,-0.00671745,-0.06279352,-0.12801550,-0.23457910,-0.44211945,-0.73871535,0.51518637,0.25798726,0.04415419,0.02006667,0.04643817,0.07354474,0.10986718,0.03575122,0.04112135,-0.05333121,-0.20172775,-0.21075325,-0.45474091,0.37418306,0.21931133,0.01917446,0.07694714,0.07681620,0.06542128,0.08449113,0.05614237,-0.03701932,-0.09844155,-0.17117305,-0.26570243,-0.43662789,0.19316751,0.14136736,0.15950282,0.13615559,0.08976530,0.01825049,0.03901156,0.05079963,-0.11160807,-0.05989414,-0.11263532,-0.25141314,-0.49019483,0.15915704,0.10638016,0.22718970,0.00436709,0.05501155,0.08190920,-0.02281901,-0.00555256,-0.03218838,-0.03179862,-0.10196358,-0.12401849,-0.44056502,0.12760849,0.03123662,0.03065095,0.13167492,0.06874698,0.09352735,0.08522318,-0.02954579,0.02570443,-0.06982647,-0.06213872,-0.14507170,-0.53902107,0.09530327,-0.00654499,0.06810205,0.03560292,0.07436322,0.07021302,0.03823422,0.06470366,-0.01239868,0.10692878,-0.01196550,-0.21414630,-0.63075995,-0.05095250,0.01652005,-0.04622175,-0.04173572,0.00611736,0.02967905,0.01204528,0.08779474,0.08901557,0.18655656,0.20308226,0.05980538,-0.70053822,-0.09198907,-0.19954774,-0.03175376,-0.04810762,0.00693865,-0.06121326,0.04672810,0.08352269,0.04702444,0.34608763,0.20463845,-0.99100447,-0.25579882,-0.16840729,-0.17739178,-0.02552745,-0.00910041,0.03074665,-0.00010870,0.03545538,0.02200112,0.03271334
0.79022723,-1.57977521,-0.46849960,-0.29866296,-0.22161105,-0.27820373,-0.09829409,-0.05709494,-0.16349728,-0.04023228,-0.04397931,-0.00223900,0.23340860,-2.83321238,-0.92510402,-0.48612380,-0.33259636,-0.21177997,-0.19977921,-0.14748162,-0.04677334,-0.09162120,-0.14951274,-0.01643226,0.09309492,0.39851254,0.81841081,-2.41528654,-1.02328801,-0.52838594,-0.37542459,-0.24742845,-0.28674659,-0.27073056,-0.18589666,-0.15582293,-0.08911467,-0.02205679,0.26870948,-1.58312941,-2.85044885,-2.03768492,-1.09605408,-0.76601374,-0.60223311,-0.49935389,-0.48961198,-0.42255867,-0.53236359,-0.63607156,-0.86052406,-0.96394038,-0.43593502,-0.95732230,-2.57379675,0.87364328,0.43644011,0.33906791,0.18069844,0.19204982,0.10587095,0.03319772,-0.07229117,-0.05447541,-0.22902822,-0.23030457,-0.45853853,-0.92744136,-2.07712746,0.27226779,0.21985145,0.12147982,0.11974501,0.11593410,0.06691743,0.04060599,-0.04225601,-0.16608258,-0.18185309,-0.37719309,-0.56003368,-1.07234502,0.85141253,0.16053696,0.13719688,0.08852790,0.05136147,-0.02398996,0.00968903,-0.01550172,-0.11429423,-0.21623734,-0.27177715,-0.41837323,-0.70872545,0.54364502,0.25543761,0.12543641,0.16333285,0.11122345,0.00533451,0.00715295,-0.03721010,-0.08464835,-0.07223995,-0.21351558,-0.30284989,-0.50029576,0.33114949,0.23558620,0.15375926,0.06218170,0.01822392,0.07874843,0.04233684,-0.09227203,-0.04214823,-0.19667625,-0.10905915,-0.25523746,-0.43951195,0.31071943,0.15190448,0.10130602,0.08566710,0.07298477,0.04961649,-0.00064079,-0.03625724,-0.01276233,-0.06739910,-0.13594177,-0.22605547,-0.51627457,0.14846702,0.15554120,0.05089567,0.08739659,0.13697731,0.00058511,0.05613007,0.01903903,-0.07551875,-0.08925966,-0.11585490,-0.26168302,-0.48661041,0.05531212,0.12704325,0.06991798,0.03024741,0.04941897,0.01751696,0.10236201,-0.01173463,0.04906132,-0.00556561,-0.11195198,-0.12050492,-0.45441824,0.04037584,0.03494427,0.01062868,0.15488462,0.00428371,-0.01869054,0.07264610,0.04548685,-0.01119091,0.05450116,-0.03680979,-0.10287967,-0.55768400,0.01725327,0.06567385,0.03619476,0.12179241,-0.01646053,0.04019270,0.00495740,0.05506962,0.05321086,0.19002856,0.22144350,0.00719170,-0.75857496,-0.03019420,-0.15334365,-0.03981509,-0.02233952,0.01871044,0.01488378,0.02420137,-0.03111666,-0.05234236,0.38734305,0.18994503,-0.95779043,-0.31993261,-0.18812576,-0.13492563,-0.03396962,0.01349856,0.00824845,-0.07138551,-0.01681172,-0.00991454,0.11656172
0.89659274,-1.58153343,-0.45336986,-0.22468115,-0.19555485,-0.15977362,-0.07288478,-0.19532122,-0.08146105,-0.05511767,-0.03890522,0.04519222,0.23587538,-2.88786530,-0.96653187,-0.46947834,-0.39211005,-0.22880948,-0.23246472,-0.12495178,-0.07437114,-0.08028628,-0.11303360,0.00796732,0.13055715,0.37187830,0.85456675,-2.57916284,-0.96023732,-0.50670260,-0.33320594,-0.30499369,-0.21449013,-0.11088561,-0.16865027,-0.19384411,-0.16089396,-0.05571602,0.24491829,-1.65308201,-2.83552837,-2.10682154,-1.05805266,-0.71497571,-0.54551667,-0.42205936,-0.40122288,-0.41991153,-0.47215021,-0.61830771,-0.78510404,-0.98768181,-0.46088943,-0.92908895,-2.56464601,0.93261737,0.51991212,0.39589629,0.22344713,0.20633171,0.02218180,0.06469321,-0.06581626,-0.07870561,-0.22304900,-0.38456720,-0.53547853,-0.93479633,-2.04986286,0.20053928,0.20687999,0.16212492,0.14169651,0.07277051,0.10716007,0.00627527,-0.07135408,-0.19761699,-0.23678736,-0.40795752,-0.65539861,-1.17707717,0.82790202,0.12216907,0.13584925,-0.01940060,0.12155575,0.08684179,0.04970907,0.02690095,-0.10125265,-0.11066256,-0.23111226,-0.34315073,-0.75280583,0.50086033,0.19458234,0.11263444,0.14061497,0.06575955,0.04549012,0.04665647,-0.01685048,-0.09051331,-0.16985594,-0.16071963,-0.24667172,-0.62706614,0.36874995,0.22074696,0.12698066,0.04786623,0.04939215,0.13402928,0.02590672,0.00648190,-0.12639901,-0.11249387,-0.16843972,-0.24740273,-0.48252919,0.18863052,0.06527139,0.10991818,0.11187553,0.07184628,0.13588603,0.02483520,-0.06586150,0.02930687,-0.04751362,-0.13747108,-0.23750848,-0.44863647,0.18883944,0.13730407,0.11501000,0.13356221,0.09866022,0.12058410,0.03827905,0.03121784,-0.02394297,-0.05730234,-0.11779326,-0.15325749,-0.51513380,0.15057829,0.05944909,0.10256569,0.07605141,0.07499659,0.09577848,0.12734751,0.05489594,-0.04347822,0.01106393,-0.05904223,-0.22873595,-0.52443385,-0.02114026,0.08320481,0.06027887,0.05182369,0.08041170,0.00184851,0.10351076,0.07833603,0.09265140,0.04322950,0.09868149,-0.06506710,-0.66102439,-0.05584397,0.00980972,0.07124402,-0.03897603,0.05294039,0.05807969,0.05922220,0.11692797,0.06908497,0.12788732,0.13333118,0.00011094,-0.74255198,-0.12257720,-0.08966617,-0.06600797,-0.07460673,-0.01570457,-0.00206650,0.04977869,0.06337250,0.08846519,0.43692231,0.20815596,-0.94950920,-0.22184598,-0.08149099,-0.18858880,-0.10182516,0.00830845,-0.02021375,0.01211236,-0.03906491,0.05761905,0.04400109
0.76939440,-1.43614364,-0.44157547,-0.33208841,-0.21602839,-0.03596906,-0.14828180,-0.06970516,-0.12573205,-0.02202896,0.00093645,-0.00355429,0.18599825,-2.79491258,-0.89494592,-0.46361828,-0.33780774,-0.16505820,-0.19229907,-0.13128389,-0.09692437,-0.09146870,-0.14519985,-0.08254478,0.25257650,0.42472211,0.80779219,-2.56985879,-0.93713963,-0.62188625,-0.34175465,-0.27169874,-0.28053015,-0.18895581,-0.17492989,-0.15436350,-0.15113229,0.06128521,0.21281843,-1.56423533,-2.88955498,-2.13222289,-1.12759316,-0.76735574,-0.66468853,-0.46226192,-0.47089317,-0.43489152,-0.50847477,-0.58161551,-0.74310112,-1.05031323,-0.49422896,-0.88271695,-2.49846315,0.85435086,0.54457945,0.34645075,0.19074734,0.17271230,0.12490568,0.04741284,-0.03128725,-0.08336697,-0.21221548,-0.29643700,-0.51667506,-0.94968164,-2.09373927,0.37184042,0.17130528,0.21061189,0.08584130,0.06020754,0.11731950,0.03586257,-0.10431043,-0.15010975,-0.22842744,-0.41480470,-0.62002462,-1.12311983,0.80271667,0.18148091,0.05908910,0.09431203,0.08535646,0.02054079,0.09116577,0.04950473,-0.07176640,-0.18026602,-0.18573105,-0.42522892,-0.70806462,0.49874586,0.29698852,0.14860287,0.07381745,0.06559459,0.07833455,0.05062336,-0.06630449,-0.05564609,-0.11436760,-0.15028284,-0.28290692,-0.48201084,0.25152177,0.16415656,0.17067006,0.01611355,0.08209044,-0.00465342,-0.08391563,0.10141680,-0.08634123,-0.14618191,-0.21462810,-0.23369375,-0.44072527,0.19385059,0.09455485,0.06694926,0.03574857,0.07278002,0.08201453,0.04916958,0.04435246,0.00633324,-0.13597932,0.01140555,-0.21790431,-0.43626571,0.05789746,0.18343854,0.09405956,0.08933698,-0.01031150,0.18808587,0.00148317,-0.03152056,0.01125743,-0.05454103,-0.15614596,-0.24720189,-0.50051492,0.09769756,0.05187915,0.10772749,0.06543609,0.03631290,0.06576068,0.03688366,0.07417550,-0.03200309,0.00648212,-0.06391471,-0.23119356,-0.50843835,0.09175892,0.09727633,0.05561808,0.04123532,0.00526856,0.07590038,0.11030392,-0.06801590,0.07492351,0.06352171,-0.00510701,-0.07733168,-0.69332331,0.08555687,0.01107859,0.03797951,0.00777328,0.04306277,0.04026650,0.11556873,0.06387281,0.16589443,0.16096719,0.16780022,-0.02520599,-0.74778730,-0.05551319,-0.06648844,-0.02087714,0.00564569,-0.03734165,-0.05063514,0.02441186,0.04240619,0.02164133,0.45429686,0.28678939,-1.01262069,-0.21621731,-0.08970548,-0.13829589,-0.13954149,-0.08522467,-0.03999544,0.00542561,-0.04546893,0.00922269,0.09108622
0.81754082,-1.51917958,-0.41431871,-0.29952547,-0.16754436,-0.24294791,-0.15280955,-0.11423922,-0.05428734,-0.01680410,-0.04927079,0.01945490,0.19801584,-2.84629869,-0.91043419,-0.49357560,-0.32231995,-0.20907490,-0.21284451,-0.07127054,-0.11887747,-0.17067251,-0.11233772,0.00645462,0.07761916,0.46768349,0.79439366,-2.44900608,-1.01583624,-0.57332575,-0.28230581,-0.23072541,-0.19971800,-0.21323851,-0.14361218,-0.15849274,-0.15578687,0.02506304,0.31218651,-1.50871277,-2.85904574,-2.08513474,-1.07079720,-0.74270326,-0.62191963,-0.50075215,-0.38226885,-0.46399751,-0.48349285,-0.48741058,-0.72285974,-0.96768969,-0.44344366,-0.91928005,-2.49439240,0.92382854,0.47254190,0.23279557,0.17477036,0.15444779,0.02374551,0.02228093,-0.06066675,-0.10464872,-0.23494211,-0.30735978,-0.43959790,-1.02810442,-2.05258322,0.28373250,0.21208958,0.05134231,0.13196118,0.12856765,0.03546414,-0.04358028,-0.05477588,-0.18357672,-0.19748831,-0.34603927,-0.50790268,-1.12520981,0.91900760,0.08848806,0.16996697,0.22917795,0.11454180,0.09764303,0.06966449,-0.04385129,-0.11405752,-0.10896544,-0.23897296,-0.35003877,-0.68170762,0.50936377,0.25930843,0.09979083,0.13911577,0.05565593,0.04216309,-0.01901899,0.06881541,-0.09240593,-0.16001137,-0.16955011,-0.16390614,-0.54187202,0.30463403,0.16216417,0.16370422,0.07965823,0.14881943,0.10361104,0.02779794,0.01662396,-0.03576238,-0.10987449,-0.15170887,-0.16169015,-0.52993441,0.24390744,0.13952696,0.12457305,0.09693854,0.02535360,0.01421534,0.11876365,-0.04758823,0.02940553,-0.14476837,-0.11974591,-0.16394612,-0.48012751,0.08747027,0.09788231,0.12061685,0.07921226,0.09867411,0.14773543,0.07826636,-0.01663318,-0.05667368,-0.01436770,-0.09766932,-0.10435753,-0.43110380,0.17167363,0.02480944,0.06439579,0.02688569,0.08772492,0.05965494,0.04813015,0.00317627,-0.06524023,-0.03287647,-0.10366459,-0.17494242,-0.42542776,0.06844229,0.05263004,0.05703107,0.06134620,0.05393085,0.08381493,0.10845583,-0.00695140,0.13851178,0.00046059,0.06932116,-0.10319955,-0.57259321,-0.07001980,-0.04965958,0.06733679,0.03089673,-0.04258202,0.02129484,0.03997209,0.14525579,0.09869633,0.12396668,0.17343874,0.00100767,-0.70497227,-0.15875307,-0.06539492,-0.03890126,0.03716394,0.07441981,0.06771953,-0.02371257,-0.03326574,0.13274056,0.40150821,0.21468750,-0.95068854,-0.30543396,-0.15533119,-0.07220398,-0.03622387,-0.04094550,-0.07447519,-0.06047920,0.00147407,-0.01321127,0.09123780
