# meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_6,meas_7,meas_8,meas_9,meas_10,meas_11,meas_12,meas_13,meas_14,meas_15,meas_16,meas_17,meas_18,meas_19,meas_20,meas_21,meas_22,meas_23,meas_24,meas_25,meas_26,meas_27,meas_28,meas_29,meas_30,meas_31,meas_32,meas_33,meas_34,meas_35,meas_36,meas_37,meas_38,meas_39,meas_40,meas_41,meas_42,meas_43,meas_44,meas_45,meas_46,meas_47,meas_48,meas_49,meas_50,meas_51,meas_52,meas_53,meas_54,meas_55,meas_56,meas_57,meas_58,meas_59,meas_60,meas_61,meas_62,meas_63,meas_64,meas_65,meas_66,meas_67,meas_68,meas_69,meas_70,meas_71,meas_72,meas_73,meas_74,meas_75,meas_76,meas_77,meas_78,meas_79,meas_80,meas_81,meas_82,meas_83,meas_84,meas_85,meas_86,meas_87,meas_88,meas_89,meas_90,meas_91,meas_92,meas_93,meas_94,meas_95,meas_96,meas_97,meas_98,meas_99,meas_100,meas_101,meas_102,meas_103,meas_104,meas_105,meas_106,meas_107,meas_108,meas_109,meas_110,meas_111,meas_112,meas_113,meas_114,meas_115,meas_116,meas_117,meas_118,meas_119,meas_120,meas_121,meas_122,meas_123,meas_124,meas_125,meas_126,meas_127,meas_128,meas_129,meas_130,meas_131,meas_132,meas_133,meas_134,meas_135,meas_136,meas_137,meas_138,meas_139,meas_140,meas_141,meas_142,meas_143,meas_144,meas_145,meas_146,meas_147,meas_148,meas_149,meas_150,meas_151,meas_152,meas_153,meas_154,meas_155,meas_156,meas_157,meas_158,meas_159,meas_160,meas_161,meas_162,meas_163,meas_164,meas_165,meas_166,meas_167,meas_168,meas_169,meas_170,meas_171,meas_172,meas_173,meas_174,meas_175,meas_176,meas_177,meas_178,meas_179,meas_180,meas_181,meas_182,meas_183,meas_184,meas_185,meas_186,meas_187,meas_188,meas_189,meas_190,meas_191,meas_192,meas_193,meas_194,meas_195,meas_196,meas_197,meas_198,meas_199,meas_200,meas_201,meas_202,meas_203,meas_204,meas_205,meas_206,meas_207
0.74286926,-0.98320234,-0.51791227,-0.29087329,-0.21959414,-0.17356114,-0.15106726,-0.11884039,-0.09592476,-0.06675742,-0.02785920,0.07135969,0.18134692,-1.44082129,-1.01382899,-0.47516105,-0.31562787,-0.24708836,-0.16903082,-0.15915042,-0.13918690,-0.10066452,-0.06608329,0.00293918,0.13736257,0.37464029,0.74230736,-2.75531459,-0.96510017,-0.53035128,-0.35820463,-0.26421693,-0.23689972,-0.17750457,-0.17331184,-0.13850693,-0.08035859,0.04536349,0.30208650,-0.97073638,-1.44126058,-3.62259674,-1.67505944,-1.02824509,-0.73841733,-0.60313094,-0.55765927,-0.51328897,-0.54191506,-0.55294657,-0.63157833,-0.76160139,-0.52716947,-1.00557506,-2.75991106,1.06331885,0.52657932,0.29465869,0.17973340,0.12000942,0.05029340,-0.03588035,-0.11112136,-0.19221793,-0.31332046,-0.29875743,-0.48485440,-0.94266593,-3.61625814,0.38271460,0.24930844,0.15242782,0.12761866,0.07134402,0.02044578,-0.01303208,-0.07957384,-0.18104492,-0.20074016,-0.31929386,-0.53939891,-1.67246056,1.04918098,0.19398049,0.15528834,0.11327887,0.09055578,0.04927922,0.01372415,-0.05978976,-0.12967645,-0.15443367,-0.22254890,-0.37488747,-1.02506435,0.51670480,0.37377805,0.11806502,0.10930407,0.08381740,0.06066980,0.02059782,-0.04479328,-0.11293935,-0.14143850,-0.18746977,-0.28605133,-0.74770224,0.29784632,0.23897216,0.19483359,0.11409701,0.09105013,0.07764951,0.02711707,-0.01617617,-0.09054755,-0.13051903,-0.15803251,-0.21386750,-0.61622602,0.16919862,0.18979330,0.14080761,0.11987989,0.11361614,0.06508003,0.03268395,-0.00574528,-0.06567483,-0.09908616,-0.13150734,-0.18807182,-0.53954351,0.09334628,0.12087988,0.11048298,0.11308122,0.10998024,0.07929314,0.07001171,-0.00379847,-0.03895614,-0.07272235,-0.11828137,-0.16273910,-0.50779128,0.03693814,0.06654683,0.09145980,0.06050350,0.09019801,0.08480899,0.06557438,0.04581626,-0.01708489,-0.02368024,-0.04827363,-0.12823364,-0.50797051,-0.01968483,0.02669732,0.05690277,0.04226373,0.05778802,0.07514037,0.06293954,0.08993359,0.01165113,0.04822107,-0.00971665,-0.08271582,-0.56118476,-0.10357244,-0.05497893,0.01155760,0.02365083,0.02998506,0.02836842,0.05586130,0.08361365,0.11809899,0.18759607,0.13168669,0.05120807,-0.64091015,-0.17891225,-0.11333968,-0.06602036,-0.04165233,-0.02111387,-0.00933453,0.01747814,0.05502981,0.06677563,0.37210453,0.29323074,-0.74729514,-0.32461128,-0.18542378,-0.13457865,-0.09922532,-0.09324253,-0.05567796,-0.04783192,-0.02829698,0.02981465,0.10000025
0.73466033,-0.96232021,-0.52307755,-0.27433091,-0.21120110,-0.16654289,-0.12929440,-0.10656907,-0.08303019,-0.08317834,-0.02425427,0.05438690,0.20625700,-1.43795323,-1.01195037,-0.49562711,-0.31669974,-0.25241262,-0.18811873,-0.16100435,-0.13001268,-0.10528694,-0.07213962,-0.00109032,0.13124549,0.36019939,0.73978353,-2.76540422,-0.94517243,-0.52208471,-0.36570886,-0.27044365,-0.24125102,-0.17521791,-0.16972242,-0.11627888,-0.07074914,0.04392055,0.29779142,-0.96803993,-1.42629325,-3.63519549,-1.66153872,-1.01227295,-0.73049116,-0.59334713,-0.53949529,-0.51852721,-0.51518315,-0.56092769,-0.61975014,-0.74276161,-0.53883994,-1.00834668,-2.76486897,1.05317473,0.53476435,0.30527741,0.17367660,0.09822685,0.04206947,-0.01349270,-0.10994027,-0.18446369,-0.32787287,-0.31107906,-0.48098165,-0.94935489,-3.61731315,0.38446158,0.24899322,0.16555268,0.12944011,0.09969170,0.03871900,-0.00951909,-0.10809737,-0.18243338,-0.21378493,-0.30169576,-0.52962279,-1.67724729,1.05757487,0.18571390,0.15660632,0.12577975,0.07881313,0.03583628,0.00723724,-0.08717854,-0.13294248,-0.15472853,-0.24235778,-0.34560752,-1.02886176,0.52956831,0.36995578,0.12789825,0.11187255,0.07882609,0.06592026,0.03192830,-0.04517531,-0.11453857,-0.11568047,-0.17633696,-0.27519637,-0.74357533,0.30988193,0.24479957,0.18362489,0.11519435,0.08271327,0.07546193,0.03155280,-0.01772353,-0.07902934,-0.10779344,-0.15459293,-0.20403935,-0.59748185,0.18862256,0.18843065,0.14697954,0.12014070,0.08284733,0.07603205,0.03753734,-0.01330082,-0.07320488,-0.08446253,-0.13413246,-0.21804310,-0.54851282,0.10414504,0.11053327,0.10058679,0.11140715,0.12360580,0.08681437,0.06272765,0.00145133,-0.05271702,-0.04235397,-0.09581414,-0.15416917,-0.50764811,0.02685447,0.08930657,0.08549278,0.07653791,0.10586473,0.09546392,0.06412684,0.03366198,-0.01100447,-0.01670584,-0.09099990,-0.13090964,-0.52684301,-0.01149184,0.05752946,0.06203416,0.06313679,0.05760672,0.06954421,0.08489063,0.08416004,0.03700198,0.03829779,0.00247937,-0.08160279,-0.54933709,-0.08620293,-0.02401278,0.00840860,0.00155189,0.04639037,0.04976379,0.06597833,0.07633608,0.10116324,0.19831404,0.15121952,0.06950725,-0.63764304,-0.18898630,-0.08128864,-0.07204424,-0.03929130,-0.02205702,-0.00529411,0.01022870,0.02371142,0.05623657,0.37913868,0.28080782,-0.74643171,-0.32341453,-0.17068122,-0.13309412,-0.09033528,-0.06717507,-0.06753916,-0.04967140,-0.02222530,0.02465663,0.11188350
0.76442480,-0.97339231,-0.54477113,-0.29047573,-0.19910675,-0.14729607,-0.13661495,-0.10200500,-0.09412665,-0.06072880,-0.01853308,0.05135791,0.19674207,-1.44699395,-1.01140928,-0.47396925,-0.31080699,-0.23246406,-0.18589355,-0.15673256,-0.14034495,-0.10905819,-0.07962704,0.01118738,0.14362852,0.37350103,0.74292791,-2.75084424,-0.94631803,-0.51940936,-0.36100510,-0.26448974,-0.22032058,-0.19004601,-0.17746913,-0.13305879,-0.08652795,0.05332604,0.27175292,-0.96638834,-1.43749547,-3.61738253,-1.67938507,-1.02750611,-0.74585068,-0.60768265,-0.56482536,-0.52264816,-0.51457202,-0.56997764,-0.62815183,-0.75434244,-0.52918345,-1.00465369,-2.76985145,1.04555738,0.53474104,0.30754939,0.18096451,0.09899153,0.02857091,-0.02395826,-0.10730211,-0.19802646,-0.32695475,-0.27696672,-0.47258145,-0.98019773,-3.63172889,0.38669544,0.26442182,0.18106106,0.12195695,0.07961631,0.02709877,-0.02434948,-0.10929435,-0.17939565,-0.19788186,-0.32252508,-0.51822454,-1.66942370,1.03788161,0.19764161,0.13438413,0.10382436,0.09786212,0.03699328,-0.00793574,-0.05677276,-0.13941002,-0.16203858,-0.24294248,-0.35460478,-1.02005529,0.51243603,0.38358018,0.12026996,0.08339119,0.08389948,0.05760947,0.02599525,-0.02827751,-0.10279484,-0.13623111,-0.18697272,-0.27204186,-0.75164521,0.28437692,0.23807186,0.19514914,0.11496190,0.08018661,0.07071340,0.04044003,-0.00297675,-0.07935385,-0.10073126,-0.16837069,-0.21001175,-0.61108643,0.16746125,0.15370668,0.14056660,0.14838207,0.09568475,0.07836407,0.04527915,-0.00085960,-0.06989987,-0.09891929,-0.14085023,-0.18957631,-0.53264087,0.09525250,0.12578294,0.12810135,0.10533850,0.12932020,0.08952765,0.04832521,0.00861443,-0.03863011,-0.06689223,-0.09627666,-0.16668488,-0.50557232,0.05890226,0.08295874,0.08273182,0.08657821,0.07360394,0.09412304,0.07622674,0.04248277,-0.00935068,-0.02521268,-0.08135068,-0.11656946,-0.51002586,-0.03420940,0.03963985,0.05681546,0.06728259,0.06879847,0.08762193,0.10678957,0.07891622,0.02931055,0.04576596,-0.00813142,-0.07682398,-0.57047957,-0.09078290,-0.03697195,-0.00823923,0.02140292,0.01646801,0.04067462,0.05536214,0.08388036,0.11233412,0.18911387,0.14474414,0.03148245,-0.65503651,-0.19349259,-0.09963480,-0.06224961,-0.04735497,-0.01582794,-0.00751466,0.00258817,0.03316067,0.07891993,0.38179046,0.29328775,-0.75798041,-0.32650569,-0.17608011,-0.13850781,-0.10789345,-0.07500681,-0.05402569,-0.05128239,-0.02315513,0.01865901,0.11331205
0.73746771,-0.98685074,-0.52776152,-0.30883399,-0.20099799,-0.16956508,-0.14349435,-0.10461545,-0.09636761,-0.07135729,-0.02907203,0.05500488,0.19088700,-1.43901098,-1.00505745,-0.48669636,-0.33003598,-0.22984749,-0.18200335,-0.15049052,-0.13263705,-0.14419053,-0.08249418,-0.00228145,0.13739482,0.37389889,0.75078356,-2.74875045,-0.94659352,-0.53455681,-0.35722280,-0.28274968,-0.22739150,-0.18744965,-0.15781607,-0.15360095,-0.08246079,0.05407443,0.26906434,-0.97388065,-1.45241141,-3.64491510,-1.67135596,-1.04072738,-0.74334800,-0.59422737,-0.54349065,-0.49596316,-0.52549386,-0.55580145,-0.63957840,-0.75551105,-0.54519373,-1.03655386,-2.76177669,1.04034150,0.51788127,0.29046267,0.18420659,0.10326638,0.04305358,-0.02511746,-0.10516787,-0.18777968,-0.32243767,-0.29966548,-0.48299327,-0.95292026,-3.63267541,0.40046665,0.27204639,0.18689398,0.12905601,0.09941739,0.03492894,-0.02541750,-0.10228000,-0.18534732,-0.22435528,-0.30201808,-0.53664589,-1.66802001,1.05714607,0.21193179,0.14610222,0.11581397,0.08766397,0.06950714,0.00471492,-0.06787102,-0.14781480,-0.16103815,-0.23424876,-0.35954258,-1.04038227,0.52536231,0.38044471,0.10696866,0.10741235,0.07184746,0.06077320,0.00917646,-0.02949463,-0.10197543,-0.13821416,-0.18595442,-0.26728404,-0.73963374,0.28355327,0.25794023,0.19151895,0.09667680,0.09842454,0.06808964,0.03918462,-0.01745073,-0.06961270,-0.10125019,-0.14727668,-0.22368015,-0.61677647,0.16994399,0.18621992,0.14344296,0.12653346,0.09890082,0.07117873,0.03427657,-0.00199732,-0.04885619,-0.10697160,-0.14022109,-0.16481939,-0.53345191,0.10408881,0.11224883,0.10241292,0.10010494,0.09846734,0.07065468,0.05495333,0.01369999,-0.05294029,-0.07365695,-0.13720809,-0.16144179,-0.52332497,0.05134922,0.07917887,0.09445511,0.07855616,0.08349457,0.10062176,0.06779292,0.04108010,-0.02641266,-0.02819177,-0.05895488,-0.13109183,-0.53222007,-0.01370364,0.03193515,0.05215601,0.06168415,0.06045375,0.06259132,0.09169353,0.08024763,0.02503656,0.03349790,-0.00440900,-0.09350196,-0.55277818,-0.10262247,-0.01853260,0.00208447,0.03388671,0.03294948,0.04210300,0.05223415,0.06510592,0.09808427,0.20522426,0.14750630,0.05859563,-0.63887817,-0.18353300,-0.10672009,-0.05878389,-0.03965148,-0.01990949,-0.01073043,0.00481700,0.03564556,0.07590213,0.37525153,0.28139988,-0.74609584,-0.32511178,-0.17717725,-0.14514109,-0.10767554,-0.08084272,-0.03748097,-0.05881966,-0.01442082,0.01627160,0.10735638
0.74209183,-0.97179025,-0.52221620,-0.29975191,-0.20433363,-0.15801758,-0.13812114,-0.12817323,-0.09421399,-0.07490650,-0.03161950,0.05989425,0.20046839,-1.44503379,-1.01393318,-0.48433265,-0.31727853,-0.24062534,-0.19936758,-0.17345305,-0.14706232,-0.11621713,-0.06675182,0.02165347,0.13414612,0.37326741,0.74632668,-2.75907564,-0.96270245,-0.53829372,-0.35161006,-0.27920869,-0.20169938,-0.18257646,-0.15324359,-0.14558254,-0.08022284,0.06748294,0.29044667,-0.97067547,-1.42220771,-3.61941576,-1.67300391,-1.02214801,-0.74167407,-0.59428114,-0.54697049,-0.53203982,-0.50977564,-0.57059556,-0.62729388,-0.73861724,-0.52354455,-1.00456953,-2.77214837,1.05194449,0.52136678,0.29086244,0.17485285,0.09438632,0.05751524,-0.02237725,-0.09014089,-0.18619178,-0.31726587,-0.29879931,-0.47321659,-0.95517462,-3.63545012,0.38605365,0.24704836,0.16489889,0.13183792,0.08752197,0.04474386,-0.02574923,-0.09806640,-0.17608401,-0.21777512,-0.31314027,-0.51976448,-1.67319798,1.06148291,0.18433906,0.14214753,0.11760614,0.07878876,0.04356723,0.00341346,-0.07693374,-0.14030384,-0.15813510,-0.21807081,-0.34883779,-1.03987968,0.52706861,0.37914637,0.13352282,0.12023257,0.08809733,0.04138824,0.01004212,-0.04759461,-0.10651048,-0.13532804,-0.16690916,-0.27537605,-0.74971652,0.31735852,0.26083335,0.18986522,0.11064856,0.08684958,0.07971038,0.03330243,-0.00615604,-0.07351680,-0.12199548,-0.15263684,-0.23990181,-0.59486449,0.18745498,0.17072304,0.14870156,0.11271820,0.10633549,0.08666966,0.05387966,0.00358844,-0.05225745,-0.10029846,-0.13726161,-0.17294990,-0.54441983,0.08765244,0.12628053,0.10431402,0.12036975,0.09571509,0.09850915,0.06540887,0.00804887,-0.05275522,-0.06248297,-0.09756260,-0.15651590,-0.52598035,0.03652149,0.09308665,0.08273870,0.09650288,0.08735429,0.08867962,0.08129325,0.04979753,-0.02286384,-0.01224327,-0.05540640,-0.11199983,-0.50755453,-0.01806690,0.04129399,0.04166513,0.06692855,0.06234885,0.09683704,0.07378922,0.05728551,0.03705224,0.04516415,-0.01165571,-0.08197865,-0.56635916,-0.09559394,-0.02369798,-0.00168762,0.02099671,0.04866667,0.04904197,0.06287720,0.07259068,0.10551661,0.19948392,0.15705456,0.05015069,-0.61497492,-0.18511504,-0.10864002,-0.06759185,-0.02577689,-0.02577307,0.00258848,0.00927414,0.03055296,0.04934288,0.36878952,0.27893686,-0.75150532,-0.31337005,-0.19771425,-0.13664478,-0.08458897,-0.08730165,-0.05112597,-0.04931991,-0.02434329,0.04195648,0.11104001
0.75005674,-0.98142618,-0.55138516,-0.28719640,-0.22005676,-0.15154976,-0.12875025,-0.13270216,-0.09132516,-0.06782253,-0.03020110,0.07492321,0.19756635,-1.43922365,-1.01547575,-0.47902432,-0.32726926,-0.25247437,-0.18354063,-0.15201436,-0.12331198,-0.09389790,-0.07937714,0.00459612,0.14132249,0.34915730,0.73703647,-2.74993992,-0.94935447,-0.52583325,-0.36556062,-0.27107129,-0.21743585,-0.20511065,-0.16749595,-0.13807814,-0.06335480,0.05998711,0.29182029,-0.97803921,-1.43430173,-3.63416266,-1.67098486,-1.03889632,-0.75604093,-0.62854272,-0.55070555,-0.51018953,-0.52980250,-0.55938566,-0.64146262,-0.74509794,-0.52984589,-1.02132177,-2.76167321,1.04824138,0.51514965,0.29934916,0.19199994,0.10666487,0.03814409,-0.03029077,-0.09604921,-0.21946137,-0.31533986,-0.28294238,-0.47980174,-0.95680869,-3.61638689,0.38120490,0.25555271,0.18955766,0.12263921,0.07778285,0.04075768,-0.03152338,-0.08868562,-0.18738084,-0.22153199,-0.31287408,-0.54802990,-1.68233037,1.06356001,0.20153582,0.14245918,0.10943337,0.09024521,0.06628972,0.00019094,-0.06544718,-0.13282588,-0.15515792,-0.23198400,-0.36110422,-1.03082645,0.52580428,0.39189979,0.11106854,0.11604219,0.08157665,0.06536206,0.01869062,-0.03671017,-0.10156248,-0.12367317,-0.19454816,-0.29355299,-0.75060421,0.30833822,0.24361135,0.19875877,0.08866324,0.08035505,0.06194647,0.03644421,-0.02225236,-0.06323783,-0.12580304,-0.15427135,-0.23055953,-0.61717695,0.18573467,0.18440527,0.13789421,0.12044734,0.09223090,0.07598092,0.04051268,-0.00224823,-0.05037526,-0.10449626,-0.11671582,-0.18073028,-0.53424460,0.10831992,0.13184001,0.12296031,0.10619895,0.11192819,0.08847681,0.03743539,0.00831006,-0.05908187,-0.07565513,-0.10848766,-0.17397866,-0.51376754,0.06620201,0.08953390,0.07529569,0.08097260,0.08687295,0.08248352,0.07596608,0.03946222,-0.01351358,-0.03472877,-0.08350068,-0.14441675,-0.52275121,-0.01752513,0.02055598,0.03409063,0.07297046,0.06749907,0.08427718,0.06502739,0.08321953,0.02292827,0.04612762,-0.00577082,-0.06601390,-0.56215876,-0.11066306,-0.02557070,0.00397663,0.00542505,0.04390852,0.04560436,0.04308948,0.09055703,0.09870024,0.19755977,0.15673721,0.04891684,-0.64989287,-0.19472399,-0.10570680,-0.06445676,-0.03140722,-0.03468799,-0.00789922,0.02744061,0.03544018,0.07371467,0.35595125,0.29495785,-0.75110298,-0.32525754,-0.19538404,-0.14464699,-0.11654288,-0.08937333,-0.07742671,-0.04306984,-0.02048878,0.02217874,0.11102419
