# meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_6,meas_7,meas_8,meas_9,meas_10,meas_11,meas_12,meas_13,meas_14,meas_15,meas_16,meas_17,meas_18,meas_19,meas_20,meas_21,meas_22,meas_23,meas_24,meas_25,meas_26,meas_27,meas_28,meas_29,meas_30,meas_31,meas_32,meas_33,meas_34,meas_35,meas_36,meas_37,meas_38,meas_39,meas_40,meas_41,meas_42,meas_43,meas_44,meas_45,meas_46,meas_47,meas_48,meas_49,meas_50,meas_51,meas_52,meas_53,meas_54,meas_55,meas_56,meas_57,meas_58,meas_59,meas_60,meas_61,meas_62,meas_63,meas_64,meas_65,meas_66,meas_67,meas_68,meas_69,meas_70,meas_71,meas_72,meas_73,meas_74,meas_75,meas_76,meas_77,meas_78,meas_79,meas_80,meas_81,meas_82,meas_83,meas_84,meas_85,meas_86,meas_87,meas_88,meas_89,meas_90,meas_91,meas_92,meas_93,meas_94,meas_95,meas_96,meas_97,meas_98,meas_99,meas_100,meas_101,meas_102,meas_103,meas_104,meas_105,meas_106,meas_107,meas_108,meas_109,meas_110,meas_111,meas_112,meas_113,meas_114,meas_115,meas_116,meas_117,meas_118,meas_119,meas_120,meas_121,meas_122,meas_123,meas_124,meas_125,meas_126,meas_127,meas_128,meas_129,meas_130,meas_131,meas_132,meas_133,meas_134,meas_135,meas_136,meas_137,meas_138,meas_139,meas_140,meas_141,meas_142,meas_143,meas_144,meas_145,meas_146,meas_147,meas_148,meas_149,meas_150,meas_151,meas_152,meas_153,meas_154,meas_155,meas_156,meas_157,meas_158,meas_159,meas_160,meas_161,meas_162,meas_163,meas_164,meas_165,meas_166,meas_167,meas_168,meas_169,meas_170,meas_171,meas_172,meas_173,meas_174,meas_175,meas_176,meas_177,meas_178,meas_179,meas_180,meas_181,meas_182,meas_183,meas_184,meas_185,meas_186,meas_187,meas_188,meas_189,meas_190,meas_191,meas_192,meas_193,meas_194,meas_195,meas_196,meas_197,meas_198,meas_199,meas_200,meas_201,meas_202,meas_203,meas_204,meas_205,meas_206,meas_207
-1.51023591,-0.80268633,-0.64230877,0.22989956,0.28309771,0.22039177,0.03366160,0.02425045,0.08487280,0.12555169,0.16117522,0.15206027,0.20056650,-2.84261537,-1.32933271,0.10527512,0.15040500,0.18205185,0.34516621,0.17396209,0.10262439,0.07002027,0.21530025,0.18031606,0.10825408,0.42670995,-1.46870935,-5.29044294,-1.23425364,-0.50461268,-0.32723561,-0.13205700,-0.26267216,-0.16945989,-0.20240133,-0.16437040,-0.32561076,-0.39817593,-0.71198356,-0.86531836,-2.84629893,-4.60683966,-1.49506366,-0.86584997,-0.49467900,-0.35831800,-0.22160187,-0.27732888,-0.48820964,-0.22972201,-0.34882343,-0.63854241,-0.64256227,-1.42555118,-5.27728081,-1.09935164,-0.78604728,-0.44216174,-0.37785998,-0.34354332,-0.32327422,-0.30879411,-0.28638130,-0.28389838,-0.45981777,0.15752640,0.11893379,-1.21651244,-4.58800125,0.36303839,0.22606269,0.03541195,0.18592650,0.12752004,0.00258012,0.16531242,0.09426221,0.14581637,0.29310828,0.30259031,-0.41376811,-1.54808736,-1.23764586,0.22225536,0.15238041,0.21935473,-0.00988762,0.07542778,0.03845305,0.19699992,0.05405883,0.27762470,0.21595682,-0.33746490,-0.95096868,-0.73742807,0.35968080,0.09467188,0.07367622,0.09353048,0.06486112,0.02401136,0.09879816,0.15904637,0.02762375,0.14924337,-0.25584683,-0.52459908,-0.45282781,0.17874095,0.19575049,0.13095555,-0.00107219,0.02739664,0.13395070,0.09047841,0.17319085,0.01359010,0.06508535,-0.07616030,-0.32240736,-0.32268366,0.14150788,0.13350782,0.16421565,0.07834940,-0.03502283,0.09763105,0.09596453,0.10226370,0.05906734,0.20087679,-0.23307797,-0.44316667,-0.21695966,0.11761155,0.08135558,0.08535298,0.12084311,0.23218499,-0.08085743,0.06386144,0.09512527,0.06779661,0.18803273,-0.17882153,-0.39556059,-0.30956158,0.06338468,-0.11088961,0.06764348,0.09670407,0.23669311,0.07982119,0.02228507,0.02622809,0.12544183,0.03813554,-0.20861000,-0.33785090,-0.32642567,0.16328804,0.12206414,0.00781180,0.11872679,0.18060611,-0.05572490,0.10604424,-0.00406691,0.19751321,0.15765114,-0.39398399,-0.53074080,-0.28069666,0.19709533,0.00740650,0.12194635,-0.05524531,0.09368274,0.06981207,0.01795969,0.04709451,0.22787334,0.24127318,-0.33880323,-0.32336366,-0.35148656,0.16503264,0.19791353,0.08482750,-0.01488151,0.08406323,0.03562971,0.01385901,-0.03343176,0.30772293,-0.74752861,-0.46933186,-0.48195279,0.07353318,0.07777804,0.07223261,0.05309724,0.12149427,0.03828761,0.02248867,0.11240467,0.07831650
-1.59780920,-0.85330957,-0.62682664,0.19172128,0.25397399,0.14466406,0.12032296,0.19572033,0.16022089,0.14484924,0.19096071,0.17879961,0.23763876,-2.90183806,-1.43003988,0.19950423,0.28317395,0.22526476,0.10217213,0.14016460,0.07975401,0.02393197,0.14659716,0.16336840,0.33599529,0.36227313,-1.47761393,-5.25570059,-1.14806724,-0.51228029,-0.37691250,-0.07791366,-0.13219418,-0.20489566,-0.20198567,-0.23462084,-0.30852234,-0.50041145,-0.70339769,-0.92926753,-2.79632211,-4.50365448,-1.51587725,-0.80335408,-0.55460882,-0.40824732,-0.37285385,-0.26062748,-0.26309213,-0.33200032,-0.56127715,-0.61789501,-0.63569802,-1.49737191,-5.38187885,-1.19862843,-0.79683852,-0.56408519,-0.45144722,-0.25297028,-0.21848600,-0.29472309,-0.29700804,-0.34186575,-0.25842789,0.36324415,-0.05250723,-1.14623177,-4.64318371,0.41425261,0.12850054,0.18914446,-0.00485606,0.07024923,0.16403942,-0.01413875,0.15298305,0.16079001,0.29148403,0.33761415,-0.41060644,-1.44211483,-1.14486492,0.17485772,0.24344522,0.07725050,0.07405943,0.13873613,-0.04079266,0.10630338,0.10347282,0.16702375,0.26066121,-0.23404139,-0.79876697,-0.64194220,0.31278664,0.17836399,0.05358665,0.15697508,0.10174210,0.15371603,0.17122662,0.05445804,0.00618018,0.33404255,-0.23287286,-0.50355238,-0.51676691,0.28536224,0.12144943,0.03964033,0.02032064,-0.02299622,0.03815068,0.02914729,0.05607979,0.14696689,0.17877930,-0.11071340,-0.45601407,-0.33879212,0.19986893,0.17151813,0.18692887,0.13768208,-0.00594396,-0.00479380,0.05419197,0.11915485,0.05419656,0.08350582,-0.21428531,-0.33930433,-0.27880588,0.13026553,-0.05529346,0.10603923,0.17404082,0.10071815,0.03975574,0.05157843,-0.08921184,0.11107435,0.17550163,-0.15557133,-0.48383310,-0.38279986,0.10590417,0.21521601,0.01532303,-0.05676466,0.09068099,0.03633425,0.11058983,0.16708755,0.08908050,0.13623324,-0.18844277,-0.31254977,-0.23572399,0.12797141,0.13645175,-0.00477721,0.12398362,0.09458956,0.07726747,0.08846482,0.17387429,0.01053107,0.13433683,-0.33838293,-0.24353875,-0.26413032,0.16684631,-0.03000925,0.09801736,0.06942233,0.04945656,0.07385127,0.00671905,0.08665051,0.20580740,0.29769748,-0.38018179,-0.31913447,-0.54317123,0.02039870,0.10857543,0.06647190,-0.02416113,-0.02323458,-0.03276712,0.12855105,-0.05272621,0.28003585,-0.72745454,-0.52666974,-0.42640418,0.19723353,0.14031754,0.17407849,0.16745140,0.02921474,0.04293472,0.05357442,0.07198840,0.06606790
-1.64955461,-0.96614671,-0.56309444,0.11612182,0.32384872,0.08025714,0.14861739,0.07316496,0.25429440,0.15003365,0.19797754,-0.04769897,0.28111666,-2.79007936,-1.24279630,0.08617675,0.38513991,0.20974302,0.13504313,0.23710348,0.15166976,0.20308754,0.14252311,0.14592455,0.26936260,0.34871244,-1.57123637,-5.20006227,-1.24229372,-0.37334332,-0.38583604,-0.13794607,-0.05603653,-0.26282239,-0.31536311,-0.17327762,-0.29346302,-0.45720723,-0.62950337,-0.90130037,-2.75033283,-4.61663866,-1.53190589,-0.73386908,-0.42738977,-0.26476938,-0.37128523,-0.30397019,-0.36419469,-0.35090601,-0.44544014,-0.67688817,-0.47095957,-1.29199028,-5.22389889,-1.24091101,-0.64191836,-0.44581908,-0.51588058,-0.30764106,-0.29262093,-0.26247257,-0.29892695,-0.24637847,-0.42189109,0.14430641,0.11737441,-1.26227868,-4.49147844,0.32352650,0.05789641,0.09994888,0.16243546,0.10347608,0.01226004,0.12243398,0.10141675,0.01523505,0.29074988,0.25252545,-0.63980049,-1.46258593,-1.12471783,0.24390580,0.19737531,0.07154374,0.09886474,0.13014334,-0.06734392,0.21905656,0.09015153,0.16947562,0.30575094,-0.46427679,-0.76692581,-0.74526298,0.38781852,0.13165037,0.10985378,0.01402944,0.01481644,0.07338095,0.04874573,0.15373659,0.14718640,0.10219451,-0.17262200,-0.43442789,-0.38189882,0.17482693,0.24648398,0.04982605,0.14866239,0.08877837,0.04384106,0.16572478,0.02394507,0.04053165,0.15334116,-0.25874829,-0.45726115,-0.43842679,0.18169260,0.11560556,0.07343172,-0.04595327,-0.05450886,0.15235268,0.04810958,0.05124092,0.25440067,0.14154711,-0.35104689,-0.45933992,-0.33354038,0.14772503,0.12712915,0.03947150,-0.04290647,0.17365342,0.09837370,0.04351176,0.10418140,0.28387865,0.19422260,-0.19763686,-0.23595504,-0.24289386,0.13929608,0.00691686,0.07746827,0.05695488,0.10247033,0.04941927,0.13887422,0.17145194,0.13464969,0.22726873,-0.14572036,-0.29529884,-0.22468960,-0.00311008,0.00746619,0.10787863,0.07386981,0.16498347,-0.07347383,0.04824550,0.00136180,0.17128901,0.17712928,-0.48317307,-0.35892147,-0.24356829,0.04981408,0.14980374,-0.03482444,0.07985055,0.02029638,0.10064989,-0.01811150,-0.03096249,0.17281438,0.21043307,-0.46076155,-0.40715817,-0.35318974,0.06184978,0.21916987,0.10408904,-0.00919240,0.06404061,-0.12653120,0.05330016,0.09454195,0.38539937,-0.69714278,-0.54180610,-0.41163665,0.08500677,0.19199350,0.08186007,0.08836738,0.05043288,-0.02200605,0.04504213,0.07913381,0.09345592
-1.59271121,-0.87386620,-0.57359105,0.08432609,0.18951002,0.16827704,0.06895645,-0.02514842,0.04042954,0.14051494,0.27999002,0.22234735,0.21350327,-2.76077533,-1.31547916,0.21790093,0.24315783,0.07405832,0.08287010,0.06381739,0.19286874,0.09553488,0.13477008,0.00591412,0.19809224,0.39763242,-1.52949786,-5.18249989,-1.30563498,-0.40619746,-0.39423278,-0.24923572,-0.12179761,-0.21732900,-0.18275845,-0.26310149,-0.37984166,-0.34022892,-0.71667641,-0.88182455,-2.84842992,-4.47623920,-1.55162823,-0.64752167,-0.48925877,-0.52514774,-0.35223526,-0.35776043,-0.32454377,-0.39093149,-0.34577236,-0.58064872,-0.61806345,-1.32609522,-5.28355217,-1.16667080,-0.68510860,-0.48535109,-0.45273465,-0.30498776,-0.41185319,-0.26238453,-0.17695075,-0.37695941,-0.33323580,0.17536487,-0.04193023,-1.24986517,-4.60261154,0.38908610,0.10925008,0.10723430,0.06844166,0.26944059,0.17735277,0.03799903,0.19040002,0.01570364,0.16171826,0.27862906,-0.46868888,-1.54348743,-1.25051248,0.23314209,0.13630357,0.03544046,0.15473147,0.12191447,0.12018717,0.12417422,0.10364015,0.21149053,0.28427994,-0.33586928,-0.89082354,-0.61052573,0.47136793,-0.01546361,0.09153216,0.01714424,0.06309535,0.12467899,0.04651515,0.12346908,0.06018880,0.25256029,-0.28001884,-0.50534123,-0.60484493,0.22324197,0.05238016,-0.09345695,0.03449053,0.00375121,-0.06481115,0.07288653,0.13081208,0.06093680,0.11960065,-0.31092572,-0.52565277,-0.32921705,0.13263115,0.21680714,-0.01978368,-0.04416144,0.08990794,0.04220518,0.04037513,0.13738526,0.03375272,0.15706149,-0.13759153,-0.31304833,-0.30093899,0.16966307,0.19945017,0.04046693,0.02301558,-0.03400153,0.04713134,0.06267060,-0.06550201,0.05519218,0.22920839,-0.23098139,-0.28680763,-0.31451452,0.13488951,0.08373789,0.11362958,0.06710161,0.14582480,0.11918438,0.05383752,0.11733753,0.13235752,0.09739481,-0.18494347,-0.35522589,-0.29650792,0.09113542,0.08303788,0.00346222,0.06852578,0.17866598,0.01264263,0.09316903,0.12920623,0.15509947,0.21412601,-0.32392502,-0.29058197,-0.31324971,0.07738664,0.06686937,0.03124725,0.07055213,-0.01368517,-0.10550564,-0.14909345,0.07705858,0.15878589,0.11542756,-0.47790554,-0.54431170,-0.35973978,0.10208880,0.07030708,-0.03848961,0.17085576,0.14632589,0.20057842,0.02092282,-0.00301574,0.21290499,-0.74782008,-0.49508575,-0.39812025,0.04530267,0.14169133,0.11947265,0.09281810,0.09561411,-0.02408097,0.07403278,0.02543067,0.09886806
-1.44980454,-0.94799244,-0.65008992,0.18152782,0.17205288,0.16793987,0.14754923,-0.02553590,0.01922093,0.01235149,0.23102106,0.07614675,0.07365695,-2.88605332,-1.38927662,0.15660352,0.29779372,0.07559633,0.11864276,0.20389378,0.09524153,0.02841767,0.22870359,0.22866501,0.25002947,0.27630025,-1.61871612,-5.19909191,-1.34219158,-0.45493209,-0.33515996,-0.11788170,-0.13251504,-0.18091790,-0.27231488,-0.19796978,-0.25376499,-0.44360945,-0.70400178,-0.87246943,-2.70751238,-4.60447264,-1.40818107,-0.79242820,-0.54144627,-0.47664729,-0.32657450,-0.44589058,-0.35373142,-0.44850814,-0.39865237,-0.54473913,-0.73650211,-1.28593087,-5.32942152,-1.28510511,-0.58981985,-0.44332832,-0.32540938,-0.17755245,-0.37935263,-0.28256440,-0.29239008,-0.28204122,-0.34779280,0.35279152,-0.02324863,-1.25623870,-4.60851049,0.27589640,0.16907468,0.22735870,0.11182027,0.08110071,0.00036862,0.13147092,0.17946880,-0.04117662,0.12048697,0.15751481,-0.47898245,-1.48252273,-1.08659494,0.05026415,0.09676449,-0.04346426,0.02556488,0.06033033,0.09798045,0.09520432,0.09148475,0.22552626,0.26015219,-0.29220533,-0.80451852,-0.70894539,0.34773964,0.18895479,0.07520331,0.03589252,0.07373749,0.06503418,-0.06813615,0.20358859,0.05991359,0.17628264,-0.27425361,-0.58230019,-0.47303501,0.25193566,0.27283424,0.07544912,0.00030058,0.08364282,0.03561048,0.12533465,0.07128932,0.07325118,0.29486156,-0.18590096,-0.42170066,-0.34249318,0.13539667,0.17134818,0.14676988,0.01862795,0.04506367,0.09695315,-0.09462594,0.23026563,0.11372277,0.08102647,-0.06635752,-0.42763057,-0.32786375,0.16399226,0.13159238,0.08694629,-0.14333889,0.03184454,0.11903046,0.01145177,0.02560898,0.13522093,-0.03562681,-0.25454438,-0.24381050,-0.27228922,0.02206692,-0.00562602,0.10585958,0.07077329,0.02889553,0.00650059,0.13098419,0.09556788,0.21088913,0.23288962,-0.18233611,-0.27012044,-0.33724740,0.07675638,0.12165122,0.06672861,0.03403665,0.15961815,-0.00870567,0.07700983,0.09019389,0.21940987,0.15462817,-0.32510632,-0.48602360,-0.37075919,0.04887069,0.02711307,0.05307056,0.05070400,-0.04706521,0.03554070,-0.00353579,0.13099946,0.21115260,0.25184041,-0.44752270,-0.41515687,-0.21634647,0.12549940,0.14415631,0.22626361,0.14326045,0.22174971,-0.11729439,0.12776835,0.18946131,0.35733885,-0.71529192,-0.59482282,-0.37560648,0.15233298,0.18902577,0.15728539,0.02171237,0.07000180,0.09510414,0.08129902,0.13792293,0.22148669
-1.49495792,-1.14385486,-0.50168484,0.26074740,0.12884578,0.24872728,0.09704408,0.08020181,0.06922758,0.09934822,0.15359378,0.13435012,0.27008393,-2.80100799,-1.30694366,0.01374233,0.14413296,0.03396366,0.14617281,0.08096579,0.13454057,0.12650500,0.00401311,0.20365223,0.22485147,0.42014644,-1.59073400,-5.21710443,-1.29116976,-0.57969719,-0.24140455,-0.29393530,-0.29902273,-0.24734116,-0.12114359,-0.28616408,-0.34174821,-0.55908859,-0.81097686,-0.93874383,-2.79828477,-4.56112957,-1.36469710,-0.74926198,-0.50109690,-0.45048955,-0.45548794,-0.17418745,-0.33243623,-0.32031867,-0.39836186,-0.61853606,-0.55039132,-1.32744575,-5.34298372,-1.12259710,-0.61589766,-0.36974588,-0.49935609,-0.27554053,-0.25804830,-0.33268052,-0.14171548,-0.40749797,-0.56837958,0.21899395,0.10781061,-1.27450001,-4.61697721,0.26104906,0.06750515,0.12958893,0.10436238,0.00760530,0.17755902,0.03055332,0.05896542,0.13753027,0.25279242,0.34025934,-0.38133702,-1.53662801,-1.24199581,0.14201242,0.17066850,0.20881882,0.14932816,0.05738556,0.14819145,0.13433266,0.08586776,0.17523578,0.17722957,-0.16325265,-0.83952957,-0.83849853,0.24431810,0.07850268,0.04186189,0.06502662,0.07348832,0.01587414,0.10162874,0.06988426,0.16956316,-0.01761653,-0.23387112,-0.47675255,-0.56979996,0.14800613,0.05042877,0.01831111,0.04591085,0.05277825,0.06950402,0.02069250,0.19211434,0.09753803,0.21926446,-0.13777743,-0.42523316,-0.46991873,0.04492096,0.18981095,0.23007502,-0.07602584,-0.09689105,0.06377523,0.06191856,0.14263681,0.16367386,0.11926135,-0.26790965,-0.37329823,-0.31256667,0.19986141,0.11334781,0.11364707,0.05600711,0.04361420,0.09495343,0.03407037,-0.06548115,0.17471197,0.14692166,-0.21127671,-0.41809875,-0.21904302,0.06338800,0.05564867,0.06914794,0.15524873,0.15243998,0.04248033,0.08434218,0.11255120,-0.00904622,0.21553805,-0.25442174,-0.30525291,-0.21955845,0.00906899,0.15244421,0.07662770,0.05114464,-0.01739377,0.05073151,0.09836613,0.03235601,0.07932350,0.12202170,-0.19681031,-0.37352282,-0.26344720,0.12642680,0.08032660,-0.08401884,0.04866280,0.07545993,-0.04713130,-0.00460854,0.07545669,0.22130100,0.17809513,-0.41089925,-0.39190575,-0.31616783,0.03932071,0.01402634,0.10126249,0.16483890,0.06540260,0.08464631,0.14053510,0.16815400,0.22862129,-0.68263835,-0.63124144,-0.46265751,0.19182406,0.22158569,0.18070129,-0.03304050,0.06389874,0.03937507,0.06251717,0.12345024,0.05299518
